category_en,category_he,condition,relevant_families,source_deck,deck_topic,category_code,notes
Osteoarthritis,אוסטאוארטריטיס,,NSAIDs; Acetaminophen; COX-2 selective,6,NSAIDs/DMARDs/Migraine,PAIN,"Topical diclofenac, oral NSAIDs; celecoxib if GI risk"
Gout — acute flare,שיגדון — התקף חריף,,NSAIDs (indomethacin); Colchicine; Glucocorticoids,6,NSAIDs/DMARDs/Migraine,PAIN,Indomethacin first-line; colchicine less used today
Gout — prophylaxis,שיגדון — מניעה,,XO Inhibitors; Uricosurics; Uricase,6,NSAIDs/DMARDs/Migraine,PAIN,Allopurinol first-line; febuxostat if intolerant; pegloticase last-line
Glaucoma,גלאוקומה,,PGF2α Analogs,6,NSAIDs/DMARDs/Migraine,PAIN,"Latanoprost, travoprost, bimatoprost; ↓IOP by ↑uveoscleral outflow"
Pulmonary arterial hypertension,יתר לחץ דם ריאתי,,Prostacyclin Analogs,6,NSAIDs/DMARDs/Migraine,PAIN,Epoprostenol IV; iloprost inhaled; treprostinil SC/IV/inhaled/PO
Asthma prophylaxis,מניעת אסטמה,,CysLT1 Antagonists; 5-LOX Inhibitors,6,NSAIDs/DMARDs/Migraine,PAIN,Montelukast (Singulair); zileuton (compliance issues)
Migraine — acute,מיגרנה — התקף חריף,,Triptans; Ergots; NSAIDs; ⭐ Gepants; ⭐ Ditans,6,NSAIDs/DMARDs/Migraine,PAIN,Triptans first-line; gepants for CV patients; lasmiditan for CV patients; NSAIDs as adjunct
Migraine — prevention,מיגרנה — מניעה,,⭐ CGRP mAbs; ⭐ Gepants; β-blockers; TCA; Anticonvulsants,6,NSAIDs/DMARDs/Migraine,PAIN,CGRP mAbs = first migraine-specific preventive class; rimegepant/atogepant oral alternatives
PDA maintenance (neonates),שמירה על PDA (יילודים),,PGE1 Analogs,6,NSAIDs/DMARDs/Migraine,PAIN,Alprostadil IV
PDA closure (neonates),סגירת PDA (יילודים),,NSAIDs (Indomethacin),6,NSAIDs/DMARDs/Migraine,PAIN,Indomethacin IV in premature neonates
GI cytoprotection (NSAID users),הגנה על קיבה במטופלי NSAID,,PGE1 Analogs,6,NSAIDs/DMARDs/Migraine,PAIN,Misoprostol (Cytotec); CI: pregnancy
Dysmenorrhea,דיסמנוריאה,,NSAIDs,6,NSAIDs/DMARDs/Migraine,PAIN,Mefenamic acid; ibuprofen; naproxen
Antiplatelet (cardiovascular),נוגד טסיות (קרדיווסקולרי),,Salicylates,6,NSAIDs/DMARDs/Migraine,PAIN,Low-dose aspirin (75-100mg/day); CI: bleeding disorders
IBD,מחלת מעי דלקתית,,DMARDs; TNF Inhibitors; JAK Inhibitors,6,NSAIDs/DMARDs/Migraine,PAIN,"Sulfasalazine, infliximab, adalimumab, tofacitinib, upadacitinib"
Thrombosis / Embolism,פקקת / תסחיף,,"Anticoagulants, Antiplatelets, Thrombolytics",7,Coagulation,COAG,"DVT, PE, acute ischemic stroke, MI"
Atrial Fibrillation,פרפור עליות,,"Vitamin K Antagonists, DOACs",7,Coagulation,COAG,Chronic anticoagulation to prevent stroke
Post-cardiac catheterization,לאחר צנתור לב,,"ADP Antagonists, GP IIb/IIIa Antagonists, Heparins",7,Coagulation,COAG,Dual antiplatelet therapy + heparin
Hemophilia,המופיליה,,Coagulation Factors,7,Coagulation,COAG,Factor VIII (type A) or IX (type B) replacement
Vitamin K Deficiency,חסר ויטמין K,,Vitamin K1,7,Coagulation,COAG,"Treatment, not prevention"
Pregnancy (anticoagulation),הריון (נוגדי קרישה),,LMWH (drug of choice),7,Coagulation,COAG,Warfarin contraindicated (teratogenic); LMWH does not cross placenta
Heparin-Induced Thrombocytopenia (HIT),טרומבוציטופניה מושרת הפרין,,"Direct Thrombin Inhibitors, Fondaparinux",7,Coagulation,COAG,Switch from heparin to alternative anticoagulant
Hypercholesterolemia (Elevated LDL),היפרכולסטרולמיה (LDL גבוה),,"HLP_F01, HLP_F02, HLP_F03, HLP_F07, HLP_F08, HLP_F09",8,Hyperlipidemia,METAB,סטטינים = קו ראשון
Hypertriglyceridemia (Elevated TG),היפרטריגליצרידמיה (TG גבוה),,"HLP_F04, HLP_F05, HLP_F06, HLP_F10",8,Hyperlipidemia,METAB,פיבראטים = קו ראשון להורדת TG
Mixed Dyslipidemia,דיסליפידמיה מעורבת,,"HLP_F01, HLP_F04, HLP_F05",8,Hyperlipidemia,METAB,שילוב תרופות נדרש לעיתים
Low HDL Cholesterol,HDL נמוך,,"HLP_F05, HLP_F04",8,Hyperlipidemia,METAB,ניאצין הכי יעילה להעלאת HDL
Coronary Heart Disease,מחלת עורקים כליליים (CHD),,"HLP_F01, HLP_F06, HLP_F10",8,Hyperlipidemia,METAB,מניעה משנית
Heterozygous Familial Hypercholesterolemia,היפרכולסטרולמיה משפחתית הטרוזיגוטית (HeFH),,"HLP_F01, HLP_F03, HLP_F07, HLP_F08, HLP_F09",8,Hyperlipidemia,METAB,לרוב צריך שילוב; PCSK9 כשסטטין לא מספיק
Homozygous Familial Hypercholesterolemia,היפרכולסטרולמיה משפחתית הומוזיגוטית (HoFH),,"HLP_F01, HLP_F03, HLP_F07, HLP_F11",8,Hyperlipidemia,METAB,evinacumab — מנגנון בלתי-תלוי ב-LDL-R
Atherosclerosis,אטרוסקלרוזיס / טרשת עורקים,,"HLP_F01, HLP_F07, HLP_F10",8,Hyperlipidemia,METAB,מניעה ראשונית ומשנית
Fredrickson Type I,Fredrickson Type I (Hyperchylomicronemia),,—,8,Hyperlipidemia,METAB,אין טיפול תרופתי! דיאטה דלת שומן בלבד
Fredrickson Type IIA,Fredrickson Type IIA (Familial Hypercholesterolemia),,"HLP_F01, HLP_F02, HLP_F05",8,Hyperlipidemia,METAB,דיאטה + כולסטיראמין/ניאצין/סטטין
Fredrickson Type IIB,Fredrickson Type IIB (Combined),,"HLP_F01, HLP_F02, HLP_F05",8,Hyperlipidemia,METAB,דומה ל-IIA; VLDL ו-LDL מוגברים
Fredrickson Type III,Fredrickson Type III (Dysbetalipoproteinemia),,"HLP_F01, HLP_F04, HLP_F05",8,Hyperlipidemia,METAB,IDL מוגבר; ניאצין/פנופיבראט/סטטין
Fredrickson Type IV,Fredrickson Type IV (Hypertriglyceridemia),,"HLP_F04, HLP_F05",8,Hyperlipidemia,METAB,VLDL מוגבר; ניאצין ו/או פנופיבראט
Fredrickson Type V,Fredrickson Type V (Mixed Hypertriglyceridemia),,"HLP_F04, HLP_F05, HLP_F01",8,Hyperlipidemia,METAB,Chylomicrons + VLDL; ניאצין/פנופיבראט/סטטין
Residual Cardiovascular Risk,סיכון קרדיו-וסקולרי מוגבר שיורי (Residual CV Risk),,HLP_F10,8,Hyperlipidemia,METAB,icosapent ethyl עם TG מוגבר למרות סטטין
Parkinson's Disease,מחלת פרקינסון,,"CNS_F01–F06, CNS_F10, CNS_F11",9,Parkinson/Alzheimer/ALS,CNS,מחלה נוירודגנרטיבית פרוגרסיבית; TRAP; אין דמנציה (בשלבים מוקדמים); 70% נוירונים אבודים בזמן אבחון
Drug-Induced Parkinsonism,פרקינסוניזם מושרה תרופתית,,CNS_F06,9,Parkinson/Alzheimer/ALS,CNS,מאנטיפסיכוטים (חוסמי D2); אנטיכולינרגיים = טיפול; L-Dopa אסור עם אנטיפסיכוטים
MPTP-Induced Parkinsonism,פרקינסון מושרה סמים (MPTP),,CNS_F01–F06,9,Parkinson/Alzheimer/ALS,CNS,MPTP → MAO-B → MPP⁺ → הרס נוירונים דופמינרגיים; שקף 38
Levodopa-Induced Dyskinesia,דיסקינזיה מ-L-Dopa,,CNS_F05,9,Parkinson/Alzheimer/ALS,CNS,amantadine מאושר לטיפול בדיסקינזיה; הפחתת מינון L-Dopa
Parkinson's Disease Psychosis,פסיכוזה בפרקינסון,,CNS_F12,9,Parkinson/Alzheimer/ALS,CNS,pimavanserin — אינו מחמיר סימפטומים מוטוריים
Alzheimer's Disease,מחלת אלצהיימר,,"CNS_F07, CNS_F08, CNS_F13",9,Parkinson/Alzheimer/ALS,CNS,נוירודגנרציה; משקעי Aβ + neurofibrillary tangles; אובדן נוירונים כולינרגיים; דמנציה
Amyotrophic Lateral Sclerosis (ALS),ALS (טרשת צידית אמיוטרופית),,"CNS_F09, CNS_F14",9,Parkinson/Alzheimer/ALS,CNS,מחלת נוירון מוטורי; riluzole + edaravone; tofersen ל-SOD1
Hyperprolactinemia,היפרפרולקטינמיה,,CNS_F04,9,Parkinson/Alzheimer/ALS,CNS,bromocriptine — חפיפה עם אנדוקרינולוגיה
Restless Legs Syndrome,תסמונת רגליים חסרות מנוחה (RLS),,CNS_F04,9,Parkinson/Alzheimer/ALS,CNS,"pramipexole, ropinirole, rotigotine — off-label / approved"
Generalized Anxiety Disorder,הפרעת חרדה מוכללת (GAD),,"ANX_F01, ANX_F06",10,Anxiolytics/Hypnotics,CNS,BZ לטווח קצר; buspirone לטווח ארוך; SSRIs = קו ראשון (דק נוגדי דיכאון)
Panic Disorder,הפרעת פאניקה,,ANX_F01,10,Anxiolytics/Hypnotics,CNS,alprazolam = בחירה ראשונה; SSRIs לטווח ארוך
Insomnia,אינסומניה (הפרעות שינה),,"ANX_F01, ANX_F04, ANX_F05, ANX_F07, ANX_F09",10,Anxiolytics/Hypnotics,CNS,Z-drugs / ramelteon לטווח קצר-בינוני; DORAs חדשים; BZ היפנוטיים
Seizures / Epilepsy (BZ use),עוויתות / אפילפסיה (שימוש BZ),,"ANX_F01, ANX_F03",10,Anxiolytics/Hypnotics,CNS,"clonazepam, diazepam, lorazepam; phenobarbital כקו אחרון; חפיפה עם דק אפילפסיה"
Alcohol Withdrawal,גמילת אלכוהול,,ANX_F01,10,Anxiolytics/Hypnotics,CNS,"diazepam, chlordiazepoxide; למניעת עוויתות ודליריום"
Muscle Spasticity,ספסטיות שרירים,,ANX_F01,10,Anxiolytics/Hypnotics,CNS,"diazepam; טרשת נפוצה, שיתוק מוחין"
Pre-Anesthesia / Procedural Sedation,פרה-אנסתזיה / הרגעה לפרוצדורות,,"ANX_F01, ANX_F03",10,Anxiolytics/Hypnotics,CNS,midazolam IV; thiopental (הרדמה IV); amnesia אנטרוגרדית
Benzodiazepine Overdose,מנת יתר של בנזודיאזפינים,,ANX_F02,10,Anxiolytics/Hypnotics,CNS,flumazenil IV; t½ קצר — ניטור ממושך
Performance Anxiety,חרדת ביצוע (Performance Anxiety),,ANX_F08,10,Anxiolytics/Hypnotics,CNS,propranolol; תסמינים פריפריים בלבד
Social Phobia,פוביה חברתית,,"ANX_F01, ANX_F06, ANX_F08",10,Anxiolytics/Hypnotics,CNS,SSRIs קו ראשון; BZ/buspirone/β-blockers משלימים
Non-24-Hour Sleep-Wake Disorder,Non-24-Hour Sleep-Wake Disorder,,ANX_F05,10,Anxiolytics/Hypnotics,CNS,tasimelteon (ATC); עיוורים
Major Depressive Disorder,דיכאון,,"SSRIs (1st line), SNRIs, TCAs, MAOIs, Atypicals, NMDA antagonists",11,Antidepressants,CNS,SSRIs first-line; 2-12 weeks to onset
Bipolar Disorder / Mania,הפרעה בי-פולארית / מאניה,,"Lithium, Anticonvulsants, Atypical antipsychotics",11,Antidepressants,CNS,Lithium effective 60-80%; narrow TI; monitor thyroid
Generalized Anxiety Disorder (GAD),חרדה מוכללת (GAD),,"SSRIs, SNRIs",11,Antidepressants,CNS,
OCD,הפרעה טורדנית-כפייתית (OCD),,"SSRIs, Clomipramine (TCA)",11,Antidepressants,CNS,Clomipramine is first-line TCA for OCD
PTSD,הלם פוסט-טראומטי (PTSD),,SSRIs,11,Antidepressants,CNS,
Panic Disorder,הפרעת פאניקה,,SSRIs,11,Antidepressants,CNS,
Bulimia Nervosa,בולימיה,,SSRIs (Fluoxetine),11,Antidepressants,CNS,Bupropion contraindicated in bulimia
Neuropathic Pain,כאב נוירופתי,,"SNRIs (Duloxetine), TCAs (Amitriptyline)",11,Antidepressants,CNS,SNRIs also for fibromyalgia
Insomnia (secondary),אינסומניה (משנית),,"Trazodone, Mirtazapine, TCAs (Doxepin)",11,Antidepressants,CNS,Trazodone low-dose is widely used
Smoking Cessation,גמילה מעישון,,Bupropion (Zyban),11,Antidepressants,CNS,
Postpartum Depression,דיכאון לאחר לידה,,"Brexanolone, Zuranolone, SSRIs",11,Antidepressants,CNS,Brexanolone IV; Zuranolone oral
Treatment-Resistant Depression,דיכאון עמיד לטיפול,,"Esketamine, MAOIs, DXM/Bupropion",11,Antidepressants,CNS,Esketamine intranasal; MAOIs last-line
Schizophrenia,סכיזופרניה,,"SGA (1st line), FGA (2nd line), Clozapine (last line)",12,Antipsychotics,CNS,"1% prevalence; positive symptoms = ↑DA, negative = ↓DA"
Tourette's Syndrome,סנדרום טורט,,"Pimozide, Risperidone, Haloperidol",12,Antipsychotics,CNS,Vocal/motor tics
Bipolar Disorder (adjunct),הפרעה בי-פולארית (עזר),,"SGA (Olanzapine, Quetiapine, Aripiprazole, Lurasidone)",12,Antipsychotics,CNS,Adjunct to mood stabilizers
Chemotherapy-Induced Nausea,בחילות/הקאות מכימותרפיה,,"Haloperidol, Prochlorperazine",12,Antipsychotics,CNS,H1 blockade → antiemetic effect
Acute Agitation / Sedation,הרגעה חריפה,,Various FGA/SGA,12,Antipsychotics,CNS,PO or LAI routes
Autism-Related Behavioral Issues,הפרעות התנהגות באוטיזם,,"Risperidone, Aripiprazole",12,Antipsychotics,CNS,
Depression (adjunct),דיכאון (טיפול עזר),,"Aripiprazole, Brexpiprazole, Quetiapine",12,Antipsychotics,CNS,Augmentation of antidepressants
Parkinson's Disease Psychosis,פסיכוזה במחלת פרקינסון,,Pimavanserin,12,Antipsychotics,CNS,No D2 blockade — won't worsen motor symptoms
Focal Epilepsy (partial),אפילפסיה פוקלית (חלקית),,"Lamotrigine, Levetiracetam, Topiramate (1st); Carbamazepine, Lacosamide, Pregabalin, Zonisamide (2nd); Gabapentin (elderly)",13,Antiepileptics,CNS,
Generalized Tonic-Clonic,התקפי טוני-קלוני מוכללים,,"Lamotrigine, Levetiracetam, Topiramate (1st); Divalproex, Zonisamide (2nd)",13,Antiepileptics,CNS,"Phenytoin, Carbamazepine also effective but NOT for absence"
Absence Seizures,התקפי absence,,"Divalproex, Lamotrigine (1st); Ethosuximide (2nd); Levetiracetam, Topiramate, Zonisamide (3rd)",13,Antiepileptics,CNS,Phenytoin & Carbamazepine CONTRAINDICATED
Myoclonic Seizures,התקפים מיוקלוניים,,"Divalproex, Levetiracetam (1st); Lamotrigine, Topiramate (2nd); BZDs, Zonisamide (3rd)",13,Antiepileptics,CNS,
Status Epilepticus,סטטוס אפילפטיקוס,,BZDs — Lorazepam/Diazepam IV (1st); Fosphenytoin (2nd); Barbiturates (3rd),13,Antiepileptics,CNS,Life-threatening; >30 min continuous seizure
Lennox-Gastaut Syndrome,תסמונת לנוקס-גאסטו,,"Clobazam, Rufinamide, Felbamate; Cannabidiol (CBD)",13,Antiepileptics,CNS,Severe childhood epilepsy
Dravet Syndrome,תסמונת דרווה,,"Cannabidiol (CBD), Fenfluramine; Valproate, Clobazam",13,Antiepileptics,CNS,Severe childhood epilepsy
Bipolar Disorder (mood stabilizer),הפרעה בי-פולארית (מייצב מצב רוח),,"Valproate, Lamotrigine, Carbamazepine",13,Antiepileptics,CNS,Alternative to Lithium (cross-ref deck 11)
Neuropathic Pain,כאב נוירופתי,,"Gabapentin, Pregabalin, Carbamazepine (trigeminal neuralgia)",13,Antiepileptics,CNS,Cross-ref with NSAID/pain deck
Epilepsy in Pregnancy,אפילפסיה בהריון,,Carbamazepine (drug of choice); high-dose folic acid mandatory,13,Antiepileptics,CNS,Teratogenic risk 2-3x; Valproate worst for IQ; must continue treatment
Surgery,ניתוח,General surgery requiring anesthesia,All general anesthetics; NMBs; opioid anesthetics,14,Anesthetics,ANES,"MDA deferral by procedure type, not by anesthetic agent"
Dental,טיפולי שיניים,Dental procedures with local anesthesia,Local Anesthetics — Amides; Local Anesthetics — Esters,14,Anesthetics,ANES,Typically 24-48h deferral if no infection; lidocaine + epinephrine standard
Cardiac,לב,Coronary artery disease / cardiac surgery,Etomidate; Opioid Anesthetics; Dexmedetomidine,14,Anesthetics,ANES,Etomidate preferred for CV stability; ketamine contraindicated in HTN
Respiratory,נשימה,Asthma / bronchospasm,Ketamine; Sevoflurane; Halothane,14,Anesthetics,ANES,Ketamine = bronchodilator; thiopental contraindicated (bronchospasm); isoflurane irritating
Neuromuscular,נוירו-מוסקולרי,Myasthenia gravis / neuromuscular disease,Non-depolarizing NMBs (with caution),14,Anesthetics,ANES,Extreme sensitivity to NMBs; succinylcholine resistance
Malignant Hyperthermia,היפרתרמיה ממאירה,Malignant hyperthermia susceptibility,Volatile Anesthetics; Depolarizing NMBs,14,Anesthetics,ANES,Genetic predisposition; avoid halothane + succinylcholine; treat with dantrolene
Pediatric,ילדים,Pediatric anesthesia,Sevoflurane; Halothane; Ketamine,14,Anesthetics,ANES,Sevoflurane/halothane non-irritating for mask induction; ketamine for short procedures
ICU Sedation,סדציה בטיפול נמרץ,ICU sedation,Propofol; Dexmedetomidine; Benzodiazepines,14,Anesthetics,ANES,Dexmedetomidine preferred (no respiratory depression); propofol infusion syndrome risk
Pain Management,ניהול כאב,Acute/chronic pain requiring nerve blocks,"Local Anesthetics — Amides (bupivacaine, ropivacaine)",14,Anesthetics,ANES,Long-acting amides for epidural/nerve blocks; combined with epinephrine
Allergy,אלרגיה,Allergic rhinitis / hay fever,H1 1st + 2nd Generation,15,Antihistamines (H1),ALRG,"2nd gen preferred; better for prevention than treatment; oral, nasal spray, eye drops"
Allergy,אלרגיה,Urticaria / skin allergies / pruritus,H1 1st + 2nd Generation,15,Antihistamines (H1),ALRG,2nd gen first-line; 1st gen diphenhydramine for acute reactions
Allergy,אלרגיה,Anaphylaxis (adjunct),H1 1st Generation,15,Antihistamines (H1),ALRG,Epinephrine is primary treatment; antihistamines are adjunctive only
GI / Motion,עיכול / תנועה,Motion sickness / nausea,H1 1st Generation,15,Antihistamines (H1),ALRG,"Block H1 + M1 in brain; cyclizine, dimenhydrinate, meclizine; take before travel"
CNS,"מע""מ",Insomnia (not first-line),H1 1st Generation,15,Antihistamines (H1),ALRG,"Diphenhydramine, doxylamine; OTC use; tolerance develops; not recommended long-term"
Anesthesia,הרדמה,Preanesthetic medication,H1 1st Generation,15,Antihistamines (H1),ALRG,"Cross-ref deck 14; prevent allergic reactions during surgery; promethazine, hydroxyzine"
